model,price,reviews,sells,url,vendor
,214.49,14,1139,https://produto.mercadolivre.com.br/MLB-1142366630-mikrotik-roteador-cabo-dac-1mt-10gb-sfp-oem-sda0001-udc-1-_JM,
,169,710,11,https://produto.mercadolivre.com.br/MLB-1821069998-roteador-wifi-archer-c21-ac750-4-antenas-_JM,
,62.39,758,64,https://produto.mercadolivre.com.br/MLB-2693626064-roteador-mercusys-mw301r-branco-_JM,
,1708.20,58,28,https://produto.mercadolivre.com.br/MLB-1961964479-roteador-mesh-tp-link-deco-x20-ax1800-wi-fi-6-2-pack-_JM,
,219.89,64,5,https://produto.mercadolivre.com.br/MLB-2011953557-roteador-load-balance-tp-link-tl-r470t-_JM,
,383.90,"2,128",2,https://produto.mercadolivre.com.br/MLB-1866916368-roteador-intelbras-action-rg1200-dual-ac1200-mbps-gigabit-_JM,
,1469,82,2,https://produto.mercadolivre.com.br/MLB-2642270547-sistema-wi-fi-meshroteadorwmm-tp-link-deco-m5-3-unidades-_JM,
,109.70,8,6,https://produto.mercadolivre.com.br/MLB-2616717176-kit-03-ubiquiti-bullet2-_JM,
,1969.09,60,3,https://produto.mercadolivre.com.br/MLB-2207649931-roteador-tp-link-deco-x60-v3-branco-100v240v-2-unidades-_JM,
,50.25,955,1208,https://produto.mercadolivre.com.br/MLB-1699266495-roteador-repetidor-wireless-n-sinal-wifi-repeater-300mbps-_JM,
,115.20,"2,462",28,https://produto.mercadolivre.com.br/MLB-1845866646-roteador-tp-link-tl-wr-840n-300mbps-2-antenas-access-point-_JM,
,335,"2,128",1,https://produto.mercadolivre.com.br/MLB-1957169336-roteador-repetidor-access-point-intelbras-action-rg-1200-_JM,
,376.88,531,2,https://produto.mercadolivre.com.br/MLB-2671801792-access-point-roteador-tp-link-archer-c80-ac1900-1300mbps-_JM,
,55,82,6,https://produto.mercadolivre.com.br/MLB-2209934973-4-suportes-de-teto-ou-parede-para-roteador-tp-link-deco-m5-_JM,
,989,12,167,https://produto.mercadolivre.com.br/MLB-1171175466-kit-internet-rural-amplimax-tel-sfio-roteador-40mcabo-_JM,
,1069.20,17,2,https://produto.mercadolivre.com.br/MLB-1925175705-access-point-gigabit-mu-mimo-wireless-ac1200-eap225-outdoor-_JM,
,224.90,43,101,https://produto.mercadolivre.com.br/MLB-1574683821-access-point-tp-link-300mbps-montavel-em-teto-eap110-_JM,
,269,"6,675",21,https://produto.mercadolivre.com.br/MLB-1807138563-roteador-tp-link-archer-c60-ac1350-wireless-dual-band-_JM,
,99,184,4,https://produto.mercadolivre.com.br/MLB-2018673903-range-extender-mercusys-mw300re-v1-branco-pronta-entrega-_JM,
,673.45,6,275,https://produto.mercadolivre.com.br/MLB-1828353457-roteador-link-4g-cvoz-amplimax-elsys-voltagem110v220v-_JM,
,230.30,46,27,https://produto.mercadolivre.com.br/MLB-1637516785-access-point-tp-link-300mbps-montavel-em-teto-eap115-_JM,
,235.62,46,2,https://produto.mercadolivre.com.br/MLB-2116324456-access-point-indoor-tp-link-eap115-24ghz-300mbps-wireless-_JM,
,429,202,10,https://produto.mercadolivre.com.br/MLB-2667368494-roteador-huawei-ax3-quad-core-huawei-share-wi-fi-6-plus-_JM,
,715.77,14,16,https://produto.mercadolivre.com.br/MLB-1990212939-mikrotik-routerboard-rb-d53ig-5hacd2hnd-hap-ac-_JM,
,559.51,83,18,https://produto.mercadolivre.com.br/MLB-1727691460-mikrotik-routerboard-rb-d52g-5hacd2hnd-tc-hap-ac2-l4-24-58-_JM,
,199.99,"1,350",8,https://produto.mercadolivre.com.br/MLB-2695297651-roteador-action-rf-1200-intelbras-_JM,
,490,"1,033",51,https://produto.mercadolivre.com.br/MLB-1697858895-10-roteador-wireless-keo-301-_JM,
Digi-Health,124.02,"4,442",81559,https://www.mercadolivre.com.br/balanca-corporal-digital-multilaser-digi-health-preta-ate-180-kg/p/MLB15276123?pdp_filters=category:MLB5867,Multilaser
Omada,387.23,12,801,https://www.mercadolivre.com.br/access-point-outdoor-tp-link-omada-eap110-outdoor-v3-branco-220v/p/MLB18103611?pdp_filters=item_id:MLB2612324447,TP-Link
Deco M5,1336,82,1825,https://www.mercadolivre.com.br/sistema-wi-fi-mesh-access-point-roteador-wmm-tp-link-deco-m5-v3-branco-220v-3-unidades/p/MLB18384167?pdp_filters=category:MLB5867,TP-Link
Kit Twibi Fast,342,347,6196,https://www.mercadolivre.com.br/roteador-sistema-wi-fi-mesh-intelbras-kit-twibi-fast-branco-110v220v-2-unidades/p/MLB15304687?pdp_filters=category:MLB5867,Intelbras
ACtion,189.99,325,4875,https://www.mercadolivre.com.br/roteador-intelbras-action-r1200-preto-110v220v/p/MLB10503881?pdp_filters=category:MLB5867,Intelbras
MR50G,267,141,2576,https://www.mercadolivre.com.br/access-point-roteador-mercusys-mr50g-v1-preto-100v240v/p/MLB16181780?pdp_filters=category:MLB5867,Mercusys
Archer,144,710,18471,https://www.mercadolivre.com.br/access-point-repetidor-roteador-tp-link-archer-c21-v1-branco-100v240v/p/MLB16233419?pdp_filters=category:MLB5867,TP-Link
RE056,99.50,178,3530,https://www.mercadolivre.com.br/repetidor-multilaser-re056-branco/p/MLB15841868?pdp_filters=category:MLB5867,Multilaser
Deco M5,658.57,"1,112",6367,https://www.mercadolivre.com.br/access-point-roteador-sistema-wi-fi-mesh-tp-link-deco-m5-branco-100v240v/p/MLB17331207?pdp_filters=category:MLB5867,TP-Link
,119.90,560,12097,https://produto.mercadolivre.com.br/MLB-1197468706-repetidor-wifi-2800m-4-antenas-amplificador-de-sinal-_JM,
Deco M4,335,587,2400,https://www.mercadolivre.com.br/access-point-roteador-sistema-wi-fi-mesh-tp-link-deco-m4-branco-100v240v/p/MLB15261184?pdp_filters=category:MLB5867,TP-Link
Ultra,37.44,"1,358",62952,https://www.mercadolivre.com.br/carto-de-memoria-sandisk-sdsquns-016g-gn3ma-ultra-com-adaptador-sd-16gb/p/MLB8859567?pdp_filters=category:MLB5867,SanDisk
AP 360,387,140,5383,https://www.mercadolivre.com.br/access-point-indoor-intelbras-ap-360-branco-110v220v/p/MLB8970695?pdp_filters=category:MLB5867,Intelbras
RE200,184.27,176,2889,https://www.mercadolivre.com.br/range-extender-tp-link-re200-v1-branco-220v/p/MLB18235365?pdp_filters=category:MLB5867,TP-Link
N301,57.68,109,6391,https://www.mercadolivre.com.br/roteador-access-point-repetidor-wds-bridge-wisp-tenda-n301-branco/p/MLB6072679?pdp_filters=category:MLB5867,Tenda
TL-WR941HP,315,"3,217",22933,https://www.mercadolivre.com.br/roteador-access-point-range-extender-tp-link-tl-wr941hp-preto/p/MLB6315548?pdp_filters=category:MLB5867,TP-Link
ACtion,153.91,"1,661",34682,https://www.mercadolivre.com.br/roteador-access-point-repetidor-intelbras-action-rf-1200-preto-100v240v/p/MLB15306371?pdp_filters=category:MLB5867,Intelbras
Archer,260.46,687,15140,https://www.mercadolivre.com.br/roteador-wds-bridge-tp-link-archer-c5-w-v4-branco/p/MLB15386549?pdp_filters=category:MLB5867,TP-Link
EXO,385,43,765,https://www.mercadolivre.com.br/sistema-wi-fi-mesh-roteador-d-link-exo-dir-3040-preto-100v240v/p/MLB19034976?pdp_filters=category:MLB5867,D-Link
Cosmo,348.90,452,6515,https://www.mercadolivre.com.br/sistema-wi-fi-mesh-multilaser-cosmo-re010-branco-2-unidades/p/MLB15345756?pdp_filters=category:MLB5867,Multilaser
RE450,449,"1,123",12465,https://www.mercadolivre.com.br/access-point-repetidor-tp-link-re450-branco/p/MLB6262785?pdp_filters=category:MLB5867,TP-Link
Archer,269,"2,369",60752,https://www.mercadolivre.com.br/access-point-roteador-tp-link-archer-c6-preto-220v/p/MLB14591620?pdp_filters=category:MLB5867,TP-Link
AC12G,205,602,16202,https://www.mercadolivre.com.br/roteador-mercusys-ac12g-v1-preto-220v/p/MLB18458556?pdp_filters=category:MLB5867,Mercusys
